2017-07-12 11:06:13,948 [INFO ] org.springframework.web.context.ContextLoader  - Root WebApplicationContext: initialization started
2017-07-12 11:06:14,278 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/net/sf/ehcache/ehcache-jgroupsreplication/1.7/ehcache-jgroupsreplication-1.7.jar]
2017-07-12 11:06:14,279 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/org/hibernate/hibernate-validator-annotation-processor/5.1.0.Final/hibernate-validator-annotation-processor-5.1.0.Final.jar]
2017-07-12 11:06:14,279 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/org/hibernate/hibernate-validator/5.1.0.Final/hibernate-validator-5.1.0.Final.jar]
2017-07-12 11:06:14,280 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/org/jboss/logging/jboss-logging/3.1.3.GA/jboss-logging-3.1.3.GA.jar]
2017-07-12 11:06:14,280 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/com/fasterxml/classmate/1.0.0/classmate-1.0.0.jar]
2017-07-12 11:06:14,281 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/javax/validation/validation-api/1.1.0.Final/validation-api-1.1.0.Final.jar]
2017-07-12 11:06:14,281 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/net/sourceforge/jexcelapi/jxl/2.6.3/jxl-2.6.3.jar]
2017-07-12 11:06:14,282 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/log4j/log4j/1.2.14/log4j-1.2.14.jar]
2017-07-12 11:06:14,283 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/org/codehaus/xfire/xfire-all/1.2.6/xfire-all-1.2.6.jar]
2017-07-12 11:06:14,285 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/org/codehaus/xfire/xfire-aegis/1.2.6/xfire-aegis-1.2.6.jar]
2017-07-12 11:06:14,285 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/net/java/dev/stax-utils/stax-utils/20040917/stax-utils-20040917.jar]
2017-07-12 11:06:14,285 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/org/codehaus/xfire/xfire-ws-security/1.2.6/xfire-ws-security-1.2.6.jar]
2017-07-12 11:06:14,286 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/jmock/jmock/1.0.1/jmock-1.0.1.jar]
2017-07-12 11:06:14,286 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/xfire/opensaml/1.0.1/opensaml-1.0.1.jar]
2017-07-12 11:06:14,286 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/bouncycastle/bcprov-jdk15/133/bcprov-jdk15-133.jar]
2017-07-12 11:06:14,288 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/xerces/xercesImpl/2.7.1/xercesImpl-2.7.1.jar]
2017-07-12 11:06:14,291 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/xml-security/xmlsec/1.3.0/xmlsec-1.3.0.jar]
2017-07-12 11:06:14,291 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/wss4j/wss4j/1.5.1/wss4j-1.5.1.jar]
2017-07-12 11:06:14,292 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/commons-discovery/commons-discovery/0.2/commons-discovery-0.2.jar]
2017-07-12 11:06:14,293 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/org/codehaus/xfire/xfire-core/1.2.6/xfire-core-1.2.6.jar]
2017-07-12 11:06:14,294 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/javax/activation/activation/1.1/activation-1.1.jar]
2017-07-12 11:06:14,294 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/javax/mail/mail/1.4/mail-1.4.jar]
2017-07-12 11:06:14,295 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/wsdl4j/wsdl4j/1.6.1/wsdl4j-1.6.1.jar]
2017-07-12 11:06:14,295 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/jaxen/jaxen/1.1-beta-9/jaxen-1.1-beta-9.jar]
2017-07-12 11:06:14,296 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/xerces/xmlParserAPIs/2.6.2/xmlParserAPIs-2.6.2.jar]
2017-07-12 11:06:14,297 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/stax/stax-api/1.0.1/stax-api-1.0.1.jar]
2017-07-12 11:06:14,297 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/org/apache/ws/commons/XmlSchema/1.1/XmlSchema-1.1.jar]
2017-07-12 11:06:14,297 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/org/codehaus/woodstox/wstx-asl/3.2.0/wstx-asl-3.2.0.jar]
2017-07-12 11:06:14,298 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/jdom/jdom/1.0/jdom-1.0.jar]
2017-07-12 11:06:14,298 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/commons-httpclient/commons-httpclient/3.0/commons-httpclient-3.0.jar]
2017-07-12 11:06:14,299 [DEBUG] org.springframework.core.io.support.PathMatchingResourcePatternResolver  - Looking for matching resources in jar file [file:/C:/Users/wangwr/.m2/repository/org/codehaus/xfire/xfire-java5/1.2.6/xfire-java5-1.2.6.jar]
